[INFO] [2020-11-19 20:01:42] ContractABIDefinition.addFunction(84) |  name: financingWithReceipt, methodId: 0xea723584, methodSignature: financingWithReceipt(string,int256), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@575c1b9b
[INFO] [2020-11-19 20:01:42] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@575c1b9b
[INFO] [2020-11-19 20:01:42] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@4ec450ae
[INFO] [2020-11-19 20:01:42] ABIDefinitionFactory.loadABI(49) |  contractABIDefinition org.fisco.bcos.sdk.abi.wrapper.ContractABIDefinition@30f5a68a 
[INFO] [2020-11-19 20:01:42] ABIObjectFactory.createObject(30) |  name: getReceiptMoney
[INFO] [2020-11-19 20:02:35] ContractABIDefinition.addFunction(84) |  name: transferReceipt, methodId: 0x389d44a6, methodSignature: transferReceipt(string,string,string,int256), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@3959ac3a
[INFO] [2020-11-19 20:02:35] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@3959ac3a
[INFO] [2020-11-19 20:02:35] ContractABIDefinition.addFunction(84) |  name: Id2Company, methodId: 0x3acb981e, methodSignature: Id2Company(uint256), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7ffa0b8c
[INFO] [2020-11-19 20:02:35] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7ffa0b8c
[INFO] [2020-11-19 20:02:35] ContractABIDefinition.addFunction(84) |  name: getCompanyFund, methodId: 0x4e64f60c, methodSignature: getCompanyFund(string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@282c3ae
[INFO] [2020-11-19 20:02:35] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@282c3ae
[INFO] [2020-11-19 20:02:35] ContractABIDefinition.addFunction(84) |  name: Int2String, methodId: 0x7e9761d6, methodSignature: Int2String(uint256), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@39388807
[INFO] [2020-11-19 20:02:35] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@39388807
[INFO] [2020-11-19 20:02:35] ContractABIDefinition.addFunction(84) |  name: String2Address, methodId: 0x8fd7c2fe, methodSignature: String2Address(bytes32), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@d7a44e3d
[INFO] [2020-11-19 20:02:35] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@d7a44e3d
